Epsilon: 0.05, Iterations 400, Offset: 0.10014403195959207, Offset with Refinement: 0.05607871198269005, Std: 0.06894046898125364, Std with Refinement: 0.03711470823371164, Inlier: 359.52586349774595, FPS: 128.02970391182896, FPS with Refinement: 104.6259607040815
Epsilon: 0.047, Iterations 400, Offset: 0.10000029707448324, Offset with Refinement: 0.06405646481742379, Std: 0.06937300166365395, Std with Refinement: 0.04154365201657566, Inlier: 346.2028225271811, FPS: 124.2422396114019, FPS with Refinement: 104.17709705278814
Epsilon: 0.044, Iterations 400, Offset: 0.09851867944808422, Offset with Refinement: 0.07093388187751995, Std: 0.06814782049360002, Std with Refinement: 0.04540387206858007, Inlier: 330.69461018297534, FPS: 124.83841801120006, FPS with Refinement: 106.54799607635266
Epsilon: 0.0409, Iterations 400, Offset: 0.0972616233031606, Offset with Refinement: 0.07688387541868856, Std: 0.06743460907519656, Std with Refinement: 0.048920526850544585, Inlier: 312.9911247016706, FPS: 125.78350053809068, FPS with Refinement: 107.81680697503802
Epsilon: 0.037, Iterations 400, Offset: 0.09587261495382725, Offset with Refinement: 0.08123920410628091, Std: 0.06693762457988629, Std with Refinement: 0.0522592583007464, Inlier: 293.75438378414214, FPS: 123.91635776634314, FPS with Refinement: 106.39389525711418
Epsilon: 0.034, Iterations 400, Offset: 0.0951290782384137, Offset with Refinement: 0.08508265410384007, Std: 0.06590587796754824, Std with Refinement: 0.05525522734746172, Inlier: 273.22533810660303, FPS: 123.80293197840226, FPS with Refinement: 106.40603992855891
Epsilon: 0.031, Iterations 400, Offset: 0.09534640518224129, Offset with Refinement: 0.08858088255771593, Std: 0.06529217646524932, Std with Refinement: 0.05773537901153002, Inlier: 251.61051445239988, FPS: 124.1300131673224, FPS with Refinement: 107.48931278678161
Epsilon: 0.0289, Iterations 400, Offset: 0.09664607795668922, Offset with Refinement: 0.0918668670925238, Std: 0.06617805220200197, Std with Refinement: 0.059420271191838, Inlier: 229.28173064173959, FPS: 124.13346575700315, FPS with Refinement: 108.06969695202942
Epsilon: 0.025, Iterations 400, Offset: 0.09848729261461184, Offset with Refinement: 0.09588225382450548, Std: 0.06648431125642179, Std with Refinement: 0.06226848387387571, Inlier: 206.43309135507823, FPS: 123.9686317493543, FPS with Refinement: 108.52095112284158
Epsilon: 0.022, Iterations 400, Offset: 0.10228098830897735, Offset with Refinement: 0.10020526458831278, Std: 0.06929241531158153, Std with Refinement: 0.06555395609095127, Inlier: 183.3623541500928, FPS: 122.48341716951577, FPS with Refinement: 107.47963169691828
